manufacturer,model,tsn,year,fuel_type,federal_state,new_registration
RENAULT (F),ZOE,BMT,2019,E,Hamburg,44
TESLA (USA),Model S,AAK,2019,E,Hamburg,9
TESLA (USA),Model S,AAL,2019,E,Hamburg,5
TESLA (USA),Model S,AAT,2019,E,Hamburg,6
TESLA (USA),Model S,AAV,2019,E,Hamburg,3
TESLA (USA),Model X,AAO,2019,E,Hamburg,9
TESLA (USA),Model X,AAP,2019,E,Hamburg,3
TESLA (USA),Model X,AAU,2019,E,Hamburg,3
TESLA (USA),Model X,AAW,2019,E,Hamburg,2
TESLA (USA),Model 3,AAQ,2019,E,Hamburg,29
TESLA (USA),Model 3,AAR,2019,E,Hamburg,129
TESLA (USA),Model 3,AAS,2019,E,Hamburg,33
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Hamburg,0
VOLKSWAGEN (D),GOLF,CBP,2019,E,Hamburg,141
VOLKSWAGEN (D),UP!,BKY,2019,E,Hamburg,5
VOLKSWAGEN (D),UP!,CKJ,2019,E,Hamburg,0
AUDI (D),e-tron 55,BSL,2019,E,Hessen,1
AUDI (D),Audi e-tron,BPG,2019,E,Hessen,222
BMW,"i3,i3s",BSI,2019,E,Hessen,564
BMW,Cooper SE,CYC,2019,E,Hessen,0
CITROEN (F),"C-ZERO,C-Zero",AJT,2019,E,Hessen,4
DAIMLER (D),eVito Tourer,IAT,2019,E,Hessen,0
DAIMLER (D),eVito Tourer,IAU,2019,E,Hessen,1
DAIMLER (D),forfour ed,GON,2019,E,Hessen,0
DAIMLER (D),fortwo coupe ed,HHE,2019,E,Hessen,3
DAIMLER (D),EQ forfour,HSE,2019,E,Hessen,109
DAIMLER (D),EQ fortwo cabrio,HSG,2019,E,Hessen,91
DAIMLER (D),EQ fortwo coupe,HSF,2019,E,Hessen,258
DAIMLER (D),EQC 400 4MATIC,AKA,2019,E,Hessen,4
DAIMLER (D),EQC 400 4MATIC,HXW,2019,E,Hessen,27
HYUNDAI MOTOR (ROK),IONIQ,AHL,2019,E,Hessen,110
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIO,2019,E,Hessen,202
HYUNDAI MOTOR (ROK),"Kona, Kauai",AIP,2019,E,Hessen,25
JAGUAR LAND ROVER (GB),Jaguar I-PACE,AHX,2019,E,Hessen,160
KIA MOTOR (ROK),NIRO,AIB,2019,E,Hessen,40
KIA MOTOR (ROK),SOUL,AGJ,2019,E,Hessen,407
KIA MOTOR (ROK),SOUL,AIH,2019,E,Hessen,154
NISSAN (CH),"Nissan Leaf 40kWh,Nissan",ALE,2019,E,Hessen,190
NISSAN (CH),NISSAN e-NV200,AIA,2019,E,Hessen,27
OPEL,Ampera-e,AGT,2019,E,Hessen,28
PEUGEOT (F),iOn,AOG,2019,E,Hessen,7
RENAULT (F),ZOE,AZX,2019,E,Hessen,270
RENAULT (F),ZOE,BIA,2019,E,Hessen,358
RENAULT (F),ZOE,BMT,2019,E,Hessen,94
TESLA (USA),Model S,AAK,2019,E,Hessen,42
TESLA (USA),Model S,AAL,2019,E,Hessen,18
TESLA (USA),Model S,AAT,2019,E,Hessen,19
TESLA (USA),Model S,AAV,2019,E,Hessen,13
TESLA (USA),Model X,AAO,2019,E,Hessen,22
TESLA (USA),Model X,AAP,2019,E,Hessen,22
TESLA (USA),Model X,AAU,2019,E,Hessen,8
TESLA (USA),Model X,AAW,2019,E,Hessen,8
TESLA (USA),Model 3,AAQ,2019,E,Hessen,98
TESLA (USA),Model 3,AAR,2019,E,Hessen,534
TESLA (USA),Model 3,AAS,2019,E,Hessen,217
VOLKSWAGEN (D),CRAFTER,CGD,2019,E,Hessen,0
